"CWNS_ID","Lat","Lon","LL","Ignore"
"29002372001",36.800563812,-90.0170559931,"36.800563812_-90.0170559931",TRUE
"48006049002",31.0415614657,-95.1196459999,"31.0415614657_-95.1196459999",TRUE
"27044000156",47.4908060944,-92.4613819815,"47.4908060944_-92.4613819815",TRUE
"54005303011",39.2262076699,-81.5180036951,"39.2262076699_-81.5180036951",TRUE
"08000087001",37.6345029408,-107.806308509,"37.6345029408_-107.806308509",TRUE
"08000362001",39.9379664356,-105.141650167,"39.9379664356_-105.141650167",TRUE
"08000500055",39.9379664356,-105.141650167,"39.9379664356_-105.141650167",TRUE
"04001506001",35.1908052328,-114.052811539,"35.1908052328_-114.052811539",TRUE
"04001506002",35.1908052328,-114.052811539,"35.1908052328_-114.052811539",TRUE
"39000068001",39.3559076269,-83.0505041675,"39.3559076269_-83.0505041675",TRUE
"39000081001",40.6276079408,-81.4414037765,"40.6276079408_-81.4414037765",TRUE
"39000083001",40.6276079408,-81.4414037765,"40.6276079408_-81.4414037765",TRUE
"39000118001",40.7802078398,-84.1782046206,"40.7802078398_-84.1782046206",TRUE
"39000118003",40.7802078398,-84.1782046206,"40.7802078398_-84.1782046206",TRUE
"39001435001",39.7032076474,-84.0295044877,"39.7032076474_-84.0295044877",TRUE
"39002969006",41.5898081292,-81.2236037865,"41.5898081292_-81.2236037865",TRUE
"39002969007",41.5898081292,-81.2236037865,"41.5898081292_-81.2236037865",TRUE
"39003244001",39.7032076474,-84.0295044877,"39.7032076474_-84.0295044877",TRUE
"39004208001",41.7189081476,-81.3353038318,"41.7189081476_-81.3353038318",TRUE
"39004208003",41.7189081476,-81.3353038318,"41.7189081476_-81.3353038318",TRUE
"39005313001",40.6276079408,-81.4414037765,"40.6276079408_-81.4414037765",TRUE
"39008001002",41.3507080575,-81.8216039513,"41.3507080575_-81.8216039513",TRUE
"39008001003",41.3507080575,-81.8216039513,"41.3507080575_-81.8216039513",TRUE
"26003164001",41.7381079992,-84.4428047847,"41.7381079992_-84.4428047847",TRUE
"26004031001",41.7381079992,-84.4428047847,"41.7381079992_-84.4428047847",TRUE
"54000209001",39.4223578561,-77.9317326064,"39.4223578561_-77.9317326064",TRUE
"54000210002",39.4223578561,-77.9317326064,"39.4223578561_-77.9317326064",TRUE
"54000210004",39.4223578561,-77.9317326064,"39.4223578561_-77.9317326064",TRUE
"54000302005",38.102907435,-81.8470037165,"38.102907435_-81.8470037165",TRUE
"54000316001",38.102907435,-81.8470037165,"38.102907435_-81.8470037165",TRUE
"54000505001",40.2267078998,-80.6581035054,"40.2267078998_-80.6581035054",TRUE
"54000605001",38.4193074785,-82.2982038738,"38.4193074785_-82.2982038738",TRUE
"54000605002",38.4193074785,-82.2982038738,"38.4193074785_-82.2982038738",TRUE
"54001017001",37.9793074399,-81.1345034936,"37.9793074399_-81.1345034936",TRUE
"54001017002",37.9793074399,-81.1345034936,"37.9793074399_-81.1345034936",TRUE
"54001030002",38.0606614508,-81.2654165385,"38.0606614508_-81.2654165385",TRUE
"54001030003",38.0606614508,-81.2654165385,"38.0606614508_-81.2654165385",TRUE
"54001030004",38.0606614508,-81.2654165385,"38.0606614508_-81.2654165385",TRUE
"54001207001",39.2745077699,-79.3626030394,"39.2745077699_-79.3626030394",TRUE
"54001720001",39.3440077438,-80.3223033389,"39.3440077438_-80.3223033389",TRUE
"54002038001",38.433207505,-81.740803707,"38.433207505_-81.740803707",TRUE
"54002038002",38.433207505,-81.740803707,"38.433207505_-81.740803707",TRUE
"54002505001",39.9512078433,-80.7451035118,"39.9512078433_-80.7451035118",TRUE
"54002505002",39.9512078433,-80.7451035118,"39.9512078433_-80.7451035118",TRUE
"54002801001",39.2745077699,-79.3626030394,"39.2745077699_-79.3626030394",TRUE
"54004120001",37.9475074167,-81.543903615,"37.9475074167_-81.543903615",TRUE
"54004122003",37.9475074167,-81.543903615,"37.9475074167_-81.543903615",TRUE
"54004799001",39.045607723,-79.4044030369,"39.045607723_-79.4044030369",TRUE
"54004801001",39.5217077471,-81.0565035759,"39.5217077471_-81.0565035759",TRUE
"54004801002",39.5217077471,-81.0565035759,"39.5217077471_-81.0565035759",TRUE
"54005103001",38.4001075474,-80.5648033488,"38.4001075474_-80.5648033488",TRUE
"54005401001",39.2262076699,-81.5180036951,"39.2262076699_-81.5180036951",TRUE
"01000009001",34.2919064679,-86.4944048368,"34.2919064679_-86.4944048368",TRUE
"01000009002",34.2919064679,-86.4944048368,"34.2919064679_-86.4944048368",TRUE
"01000023001",31.0824057596,-87.0898048397,"31.0824057596_-87.0898048397",TRUE
"01000023002",31.0824057596,-87.0898048397,"31.0824057596_-87.0898048397",TRUE
"01000034001",32.9268061559,-87.1529049477,"32.9268061559_-87.1529049477",TRUE
"01000325001",34.1786454734,-85.7535876189,"34.1786454734_-85.7535876189",TRUE
"13000006016",33.22454232,-84.4276671869,"33.22454232_-84.4276671869",TRUE
"13000016004",33.7508064346,-84.3914042039,"33.7508064346_-84.3914042039",TRUE
"13000040005",33.9614064847,-84.2546041756,"33.9614064847_-84.2546041756",TRUE
"13000062001",32.0750061793,-81.0673031538,"32.0750061793_-81.0673031538",TRUE
"13000062002",32.0750061793,-81.0673031538,"32.0750061793_-81.0673031538",TRUE
"13000062005",32.0750061793,-81.0673031538,"32.0750061793_-81.0673031538",TRUE
"13000500001",33.7508064346,-84.3914042039,"33.7508064346_-84.3914042039",TRUE
"13000575004",33.5505064049,-84.0296040888,"33.5505064049_-84.0296040888",TRUE
"13000575008",33.5505064049,-84.0296040888,"33.5505064049_-84.0296040888",TRUE
"13000575009",33.5505064049,-84.0296040888,"33.5505064049_-84.0296040888",TRUE
"13000622001",30.8206548625,-82.0243133808,"30.8206548625_-82.0243133808",TRUE
"13000638003",33.223923305,-84.8388373052,"33.223923305_-84.8388373052",TRUE
"13000638004",33.223923305,-84.8388373052,"33.223923305_-84.8388373052",TRUE
"13000851001",32.8571312135,-85.1775003835,"32.8571312135_-85.1775003835",TRUE
"17001127001",41.3221186643,-89.3066511834,"41.3221186643_-89.3066511834",TRUE
"17001317001",41.2133075727,-90.5817065379,"41.2133075727_-90.5817065379",TRUE
"17001320001",41.2133075727,-90.5817065379,"41.2133075727_-90.5817065379",TRUE
"17003914001",37.9783071156,-88.3400056105,"37.9783071156_-88.3400056105",TRUE
"17007503001",37.9783071156,-88.3400056105,"37.9783071156_-88.3400056105",TRUE
"18000067001",40.8382077175,-86.7880054028,"40.8382077175_-86.7880054028",TRUE
"19000743001",42.9708076955,-93.2072074752,"42.9708076955_-93.2072074752",TRUE
"19000747001",42.9708076955,-93.2072074752,"42.9708076955_-93.2072074752",TRUE
"16000018001",43.9517063903,-111.714412184,"43.9517063903_-111.714412184",TRUE
"16000021001",43.9517063903,-111.714412184,"43.9517063903_-111.714412184",TRUE
"16000058001",47.5413062688,-116.202613794,"47.5413062688_-116.202613794",TRUE
"16000092001",47.5413062688,-116.202613794,"47.5413062688_-116.202613794",TRUE
"20000498007",38.8923069429,-94.6713074396,"38.8923069429_-94.6713074396",TRUE
"20000498010",38.8923069429,-94.6713074396,"38.8923069429_-94.6713074396",TRUE
"20000845001",39.7873070689,-95.076007635,"39.7873070689_-95.076007635",TRUE
"20001201001",39.3625067155,-99.6967087901,"39.3625067155_-99.6967087901",TRUE
"20001228001",39.3625067155,-99.6967087901,"39.3625067155_-99.6967087901",TRUE
"20001711001",37.9338065978,-97.8668081858,"37.9338065978_-97.8668081858",TRUE
"20001712001",37.9338065978,-97.8668081858,"37.9338065978_-97.8668081858",TRUE
"20006846001",39.7873070689,-95.076007635,"39.7873070689_-95.076007635",TRUE
"29001530000",39.3907260507,-94.2643413777,"39.3907260507_-94.2643413777",TRUE
"29002087001",36.8932856108,-94.3733101857,"36.8932856108_-94.3733101857",TRUE
"29002495001",39.1081160391,-93.6324831799,"39.1081160391_-93.6324831799",TRUE
"29002495002",39.1081160391,-93.6324831799,"39.1081160391_-93.6324831799",TRUE
"21000072001",37.1700070738,-85.9161158542,"37.1700070738_-85.9161158542",TRUE
"21000254001",37.1700070738,-85.9161158542,"37.1700070738_-85.9161158542",TRUE
"23000057003",44.2967091167,-68.3005997824,"44.2967091167_-68.3005997824",TRUE
"23000057004",44.2967091167,-68.3005997824,"44.2967091167_-68.3005997824",TRUE
"27000170001",47.4908060944,-92.4613819815,"47.4908060944_-92.4613819815",TRUE
"27000236001",43.7575681781,-92.875780269,"43.7575681781_-92.875780269",TRUE
"27005501001",43.7575681781,-92.875780269,"43.7575681781_-92.875780269",TRUE
"37001017001",34.0275477082,-78.280219413,"34.0275477082_-78.280219413",TRUE
"45000227001",33.5672065791,-79.0917026352,"33.5672065791_-79.0917026352",TRUE
"45000607006",33.5672065791,-79.0917026352,"33.5672065791_-79.0917026352",TRUE
"45009015001",32.8115063855,-79.8326028215,"32.8115063855_-79.8326028215",TRUE
"45009203001",32.8115063855,-79.8326028215,"32.8115063855_-79.8326028215",TRUE
"30000053001",47.519906766,-111.300812782,"47.519906766_-111.300812782",TRUE
"30000106001",47.519906766,-111.300812782,"47.519906766_-111.300812782",TRUE
"47002034001",36.4637070338,-83.5608041194,"36.4637070338_-83.5608041194",TRUE
"47009103001",36.4637070338,-83.5608041194,"36.4637070338_-83.5608041194",TRUE
"22000555001",29.9534054097,-90.2018056479,"29.9534054097_-90.2018056479",TRUE
"22000565001",29.9534054097,-90.2018056479,"29.9534054097_-90.2018056479",TRUE
"22003067001",31.6152057153,-91.567106094,"31.6152057153_-91.567106094",TRUE
"22003068001",31.6152057153,-91.567106094,"31.6152057153_-91.567106094",TRUE
"22009087001",29.932205413,-89.9577055806,"29.932205413_-89.9577055806",TRUE
"22009087006",29.932205413,-89.9577055806,"29.932205413_-89.9577055806",TRUE
"49000146001",40.7569060623,-111.564111669,"40.7569060623_-111.564111669",TRUE
"49000146002",40.7569060623,-111.564111669,"40.7569060623_-111.564111669",TRUE
"40000002001",34.6286059592,-99.2718082659,"34.6286059592_-99.2718082659",TRUE
